rank,tag,rating,character,id
1,DDee,3033.435669390637,"[""pickel""]",1480393
2,Kola,2603.517733387865,"[""roy""]",18802
3,Jahzz0,2535.8739076268885,"[""ken"", ""ryu""]",946548
4,omega,2113.2181906015508,"[""jack""]",24638
5,Vendetta,1244.561378433228,"[""ryu"", ""ken""]",343421
6,HyperKirby,1163.5872314901344,"[""roy""]",71079
7,spickles,978.9131759059875,"[""luigi""]",1154793
8,ROB Slayer,797.6672014818138,"[""robot""]",2414381
9,Fatality,681.1212424255067,"[""captain""]",15921
10,Sonido,609.767065852992,"[""snake""]",6905
11,Chunky,434.5287332637715,"[""wiifit""]",1479891
12,Avery!,428.63767137182134,"[""miifighter""]",38830
13,Jax,417.29745091709384,"[""lucina""]",135241
14,Ryu from Streets,399.1895863838019,"[""marth"", ""brave""]",2348605
15,Tobe,366.188538459809,"[""gekkouga""]",1646132
16,aj_waves,359.73025335267545,"[""ice_climber""]",3430874
17,Vivid,349.701260869037,"[""toonlink""]",499333
18,Sakana,306.19879193173983,"[""koopa""]",1045059
19,KumaDusk,271.9915991118085,"[""gamewatch""]",253909
20,Spider,257.28792224961626,"[""toonlink""]",691176
21,ToxiC,243.61652801860734,"[""ness""]",2585804
22,TRAIN,239.96252687490804,"[""samusBoth""]",160326
23,Geemoney$,239.84557280619575,"[""marth""]",252344
24,Barbashop,208.12351852854806,"[""falco""]",2537853
25,squirtleB,196.77655307486256,"[""ptrainer"", ""lucario""]",264290
26,JankTrees!,192.31913829470426,"[""yoshi""]",35695
27,PACDUECE,186.32052463410463,"[""sora""]",35275
28,Cobalt,179.67495778394868,"[""mewtwo""]",181792
29,iGreg!,167.94393266533106,"[""reflet""]",509710
30,CJay,167.2086874613284,"[""demon""]",1852984
31,Kr!stal:0,165.26373191396462,"[""pickel"", ""luigi""]",2409815
32,REM!!!,165.102677136297,"[""lucas""]",4726196
33,Grey,162.78494334269195,"[""pacman""]",2634169
34,Nia,155.49360912690003,"[""ptrainer"", ""eflame_first""]",428070
35,Steamedklams,154.51127731890713,"[""samusBoth""]",997285
36,Dubz,138.66227528718946,"[""palutena""]",22583
37,OneHundred,138.25727779743008,"[""mario""]",2266676
38,GLG,136.31640336388952,"[""eflame_first""]",879775
39,Kami,135.05959316643361,"[""cloud""]",1183115
40,The Great Gonzales,129.7354102606129,"[""pickel""]",1917673
41,Zsaih,129.57739039822923,"[""ike""]",454958
42,Jonestly,124.92524859542681,"[""ness""]",30532
43,STiCK,123.41195155750752,"[""krool""]",282674
44,iNGenius,122.81177806002479,"[""palutena""]",3194293
45,Tope,121.85756554946894,"[""ike""]",325240
46,Mr.Yello,115.32623847152388,"[""falco""]",1832805
47,Impluvio,114.09596479232317,"[""paisy""]",2175953
48,FreeDubs,113.81819253957309,"[""link""]",4888408
49,chooryu :),112.98892670135605,"[""edge""]",466564
50,CoolCactuS,112.11103494605536,"[""marth"", ""miiswordsman""]",1885346
51,Savant,111.45709529563251,"[""cloud""]",1944044
52,Stain,103.24467608472014,"[""captain""]",875431
53,tristories,99.87819835612642,"[""reflet""]",1406480
54,Mr.Speedman,99.82951924849436,"[""roy""]",36192
55,holdmypockets,94.80181451320374,"[""rockman""]",617199
56,an ewok,93.51655231069839,"[""luigi""]",40417
57,Benny&TheJets,92.2936974066339,"[""robot""]",156443
58,Zaheer,91.84485731887028,"[""link""]",24228
59,varunk,90.24703044698865,"[""yoshi""]",1653684
60,Kisu,89.98344166111615,"[""shulk""]",2383967
61,Smoovdiabetic,88.67700100206194,"[""toonlink""]",590681
62,Restof87,88.5905824363233,"[""purin""]",4301990
63,Alting,87.77379484028243,"[""snake""]",400199
64,MilesisBae,86.58381402126592,"[""brave""]",1218383
65,StreetDzine,84.89107805384513,"[""kamui""]",989587
66,Kirino,84.54003592537877,"[""zelda""]",6134
67,Akamos,84.21096949949953,"[""roy""]",2233683
68,Maverick,82.36361560958332,"[""diddy""]",1058777
69,Nhiem,76.53701653528645,"[""tantan""]",1429448
70,Krishna,73.64540278856006,"[""eflame_first""]",2282949
71,N8borsclub,72.0825194315431,"[""cloud""]",1137803
72,pristinetao,67.32698161499295,"[""diddy""]",2721225
73,AshNoJoy,66.80387015801533,"[""murabito""]",3141674
74,Stache,66.64123284178778,"[""captain"", ""ike""]",36645
75,ImPhenyl,63.03865409816652,"[""younglink""]",3256876
76,Primary Trout~,61.972173626637954,"[""bayonetta""]",905410
77,#1 TEASER FAN FOR LIFE,61.71590589822266,"[""pickel""]",181040
78,red dot,59.74722266371942,"[""ken""]",1812177
79,Loid,58.90848304154218,"[""bayonetta""]",2981786
80,Yummy,58.90848304154218,"[""krool""]",1743866
81,Korok,58.10983960788009,"[""edge""]",2697934
82,Twist!?,57.53199245416412,"[""buddy""]",1764076
83,Bethanol,57.405919070268375,"[""samusBoth""]",523480
84,JD-DK,57.07107240091887,"[""palutena"", ""krool""]",1319951
85,That Isabitch,56.9043822105814,"[""palutena""]",3566358
86,Derp,56.9043822105814,"[""koopa""]",2080364
87,FANN,56.4897836375486,"[""pickel""]",2366169
88,Kid Kaioken,55.18325919396185,"[""demon""]",2730912
89,Rain~,54.210019500238964,"[""inkling""]",719416
90,Frank,53.072523677418914,"[""dolly""]",1227401
91,Element,52.81442288771648,"[""wolf""]",1209911
92,WhopperFloppers,52.55757728644357,"[""kirby""]",2564706
93,I hate Krool,52.4551891303556,"[""krool""]",3328447
94,Daiyan,52.37852893267697,"[""random""]",1059715
95,Netherlord64,52.12380315850528,"[""lucas""]",4586226
96,Spruce,52.02226004390156,"[""wiifit""]",1100077
97,TC,51.27946351237923,"[""sora""]",3012512
98,Z I C O,50.49801302424476,"[""dedede""]",225744
99,ÆON,49.74059398192493,"[""tantan""]",1437386
100,JoseJFB,49.704234204999565,"[""pichu""]",29578
101,NinNet,49.13805530873035,"[""demon""]",2567848
102,Typical!,48.982594408901114,"[""wario""]",1227171
103,Logan,48.94678872056172,"[""gaogaen""]",63208
104,carlop,48.732503565468676,"[""fox""]",3431919
105,Dmo,48.08353855449811,"[""ptrainer""]",2041991
106,Havoc,47.62860689550213,"[""ryu""]",376942
107,THIS JIT CRACKS BIRDS,47.535820936010666,"[""falco""]",1288306
108,REDD,47.3969808072672,"[""miiswordsman""]",1305309
109,PitchingAce33,47.074595470611065,"[""pikachu""]",1198327
110,CaptainMilkMan,46.66332002783894,"[""captain""]",1101654
111,Sacred,46.300759331641935,"[""link""]",1007555
112,Boo,46.1092961357678,"[""gamewatch""]",2647915
113,Ozair,45.539643904640435,"[""marth""]",540851
114,CHEESE,43.71244939597438,"[""diddy""]",3429754
115,Jeni,43.58477636998416,"[""demon""]",1499467
116,Dingo,43.07780239710961,"[""gekkouga""]",35890
117,Dom,42.6390399657991,"[""paisy""]",36310
118,2ndWonder,41.87682763219674,"[""wolf""]",3255312
119,Phantomtheif,40.020619384152575,"[""marth""]",469237
120,Whaley,39.42035063313385,"[""edge""]",2016149
121,Omar,39.22864270361084,"[""palutena""]",4300029
122,Burlum,38.810160602497845,"[""gaogaen""]",397537
123,SweatOnly,38.3774290785451,"[""luigi""]",1406711
124,Captain C,38.32134270561739,"[""captain""]",802498
125,ThatSoopGuy,38.2373667968363,"[""ness""]",2253726
126,Arc,37.85713250745874,"[""jack""]",2285547
127,Bamba,37.10796953598415,"[""sonic""]",1275216
128,Cromat,36.285078511755195,"[""eflame_first""]",3055798
129,Monologgue,35.845534845043474,"[""snake""]",1135679
130,Baconator_37,35.67121185812381,"[""donkey""]",2644817
131,Pacil,35.42858299341667,"[""reflet""]",2249009
132,Sid,34.64293335235609,"[""cloud""]",1229067
133,PhaZe,34.424076413184885,"[""toonlink""]",36212
134,EdgyKnight,34.30680361390564,"[""metaknight""]",367828
135,Nyramyss,33.293501358130456,"[""rosetta""]",2648735
136,Guapo,33.28538699740545,"[""kirby""]",342873
137,Dampé,33.075106365471456,"[""fox""]",1170738
138,Hue,33.03482034220534,"[""ness""]",35934
139,Garvspark,32.994583387977826,"[""roy""]",1779068
140,Happy,32.62669528522294,"[""kamui""]",1383907
141,Plaid,32.207907068144216,"[""gamewatch"", ""pickel""]",1452882
142,Mentayy,32.168677307877914,"[""roy""]",2586911
143,MORTAL MAN,32.09036107662413,"[""mariod""]",151596
144,Olive,32.02784539252162,"[""donkey""]",1810274
145,Scouteka,31.655300541461163,"[""mario""]",2055957
146,Bany05,31.401692727987836,"[""eflame_first""]",2637493
147,tired&true,30.667942133233392,"[""reflet""]",2635568
