rank,tag,rating,character,id
1,Ouch!?,3890.611772405761,"[""wolf""]",300502
2,JDV,2108.587365962347,"[""pacman""]",1532849
3,X'avier,1451.4898691812054,"[""wiifit""]",2588888
4,BassMage,1372.0196718094398,"[""purin""]",229756
5,Big D,1227.688413431325,"[""ice_climber""]",21504
6,Lemmon,1084.7040296589087,"[""jack""]",250692
7,embo_z,996.4877344153392,"[""duckhunt""]",1094952
8,Raiyihn,847.7869880470051,"[""snake""]",1015004
9,Tickle,837.1090252128838,"[""eflame_first""]",53715
10,SPARKLE,785.3200618371346,"[""brave""]",1318973
11,Opsine,666.6666666666664,"[""szerosuit""]",1158880
12,Bombastic,636.4954920543603,"[""gamewatch""]",1173578
13,Cattail,518.6482217208924,"[""toonlink""]",1652922
14,Domnique,509.87379263493824,"[""robot""]",413893
15,Konga,450.2710927273388,"[""donkey""]",65019
16,Fizzmint,431.1525688597871,"[""shulk""]",538990
17,JoJoDaHoBo,421.2833290272183,"[""toonlink""]",156359
18,Machu,402.1193804496845,"[""robot""]",156498
19,OpZ,383.2662483900873,"[""pickel""]",1866457
20,Charlie D.,377.7938056374371,"[""ness""]",1328570
21,Mio!,377.05782020702327,"[""roy""]",1768035
22,Psionic,376.1398543497155,"[""sheik"", ""lucina""]",1141084
23,Major,372.49028491004344,"[""cloud"", ""ganon""]",1985265
24,Spade,370.8595520150155,"[""captain""]",35880
25,Captain L,364.052573833807,"[""sheik""]",13982
26,Artemis,352.69743382049467,"[""robot"", ""palutena""]",131043
27,Niko4,352.5255344808483,"[""demon""]",1750294
28,Terra,343.3663205738674,"[""wolf""]",1195489
29,pacstreet,333.3057217005473,"[""pacman""]",1373555
30,Seesaw,330.8772957826745,"[""gaogaen""]",33730
31,RGScompany,326.3914736059541,"[""younglink""]",613579
32,NinJamez,323.5398973686577,"[""koopa""]",998885
33,Clune,323.5398973686577,"[""yoshi""]",318435
34,Pow,323.2245974196983,"[""pacman"", ""snake""]",38651
35,Eddawg,296.503583662077,"[""bayonetta""]",1333686
36,GamingInAction,294.6304204944677,"[""donkey""]",4011486
37,Debo,293.7698794391601,"[""ness""]",55018
38,Peace!2,279.65560986663985,"[""eflame_first""]",279024
39,Emma,265.5713405587087,"[""rockman"", ""demon""]",179936
40,Shoghi,253.73792100009237,"[""ike""]",132568
41,Lumeckos,250.7253434450739,"[""rosetta"", ""bayonetta""]",2078888
42,Sophia,245.464341263685,"[""pickel""]",3129353
43,Zeb,245.4045161888539,"[""cloud""]",248620
44,Liam,244.9861487254262,"[""belmont""]",172183
45,Despa,244.68775156901586,"[""ptrainer""]",1189554
46,Blueka,240.72411965706758,"[""bayonetta""]",2483554
47,FireThePyro,238.44656217256974,"[""miifighter""]",390882
48,Tirachi,229.4379100425254,"[""lucas""]",2668042
49,mr. money,222.06490676303423,"[""wolf""]",1768825
50,MOX,221.30839632176037,"[""diddy""]",2569642
51,Peregrine,217.9889945560139,"[""link""]",1447695
52,Irod,211.60193880354208,"[""mario""]",225363
53,gameninja,209.65101090398616,"[""wolf""]",1383936
54,Vai,207.21237028752637,"[""ken""]",539478
55,Capsize,206.4058100188666,"[""gekkouga""]",62425
56,CheeseKerd,205.90330489579753,"[""kirby""]",3268640
57,Martin Litster,205.8029507714162,"[""sora""]",40891
58,Stay Gold,202.41985721062642,"[""reflet""]",2262760
59,SuperKernel,198.22076604325719,"[""wiifit""]",1347647
60,Zookalooza,196.34534454445657,"[""mario"", ""wario""]",1744223
61,Lemonjuice,195.8195949310923,"[""samusBoth""]",2800491
62,RJW,193.07065287579684,"[""pacman"", ""murabito""]",1000215
63,Sawstep,190.17478865771284,"[""donkey""]",421875
64,Jovann,189.89685930251102,"[""gekkouga""]",1305515
65,ditto,189.71179875655483,"[""dolly""]",1707437
66,Anomaly,188.60521663090017,"[""packun""]",1080335
67,Scoria,187.77951796601246,"[""metaknight""]",1864478
68,Cool Guy,181.03777897470374,"[""gekkouga""]",2272586
69,Kento,180.94954392768426,"[""pickel""]",4282574
70,Healer,179.7187592101067,"[""marth""]",1321767
71,diegohd,175.22011729078721,"[""inkling""]",2060709
72,Everest,174.79353527453813,"[""roy""]",259129
73,2013 TOYOTA COROLLA,165.18318489643804,"[""bayonetta""]",4819637
74,CaptainCarson,162.98345987606314,"[""captain""]",1734856
75,Sam,162.8246272962234,"[""pickel""]",479730
76,junip,161.83542460000223,"[""paisy""]",4621535
77,Adam,160.10900166376112,"[""yoshi""]",12566
78,Spikefire,157.51543846202614,"[""yoshi""]",550678
79,Shinkou,156.4821862769659,"[""sheik""]",45051
80,Bradoof,151.52747245567303,"[""buddy""]",398526
81,Marmalade,150.79056835553763,"[""pikachu"", ""pichu"", ""szerosuit""]",556018
82,Dr. Cakenstein,149.25471386183654,"[""koopajr""]",264405
83,Cube,147.87861500820725,"[""gamewatch""]",1073728
84,kamikaze,146.87277252052806,"[""snake""]",36781
85,Velvet,145.37682214287491,"[""littlemac""]",2174993
86,Octavia,144.81095260254892,"[""ridley"", ""tantan"", ""pickel""]",1040084
87,Nath,142.36105808586765,"[""diddy""]",1363727
88,Knev$,141.0485173709743,"[""sonic""]",3053380
89,Moonboyjosh,139.20411799015596,"[""ken""]",40430
90,Feathers McRaw,135.65347330291362,"[""szerosuit""]",1227561
91,Grandma,135.52127466665132,"[""pitBoth""]",3589473
92,CaptainOfJohns,132.4514245077495,"[""wolf""]",2448501
93,Wadinator,131.67884009371497,"[""pickel""]",1917260
94,Cinnamint,130.91076213688936,"[""lucas""]",1764310
95,John,130.78318542392228,"[""pickel""]",2050266
96,Cider,130.46478730964054,"[""gamewatch""]",2519221
97,Naythen,127.07508989082082,"[""mario""]",846187
98,Cash,125.59696453281833,"[""rockman""]",2398024
99,Redx,124.86436193825412,"[""mariod""]",158332
100,Efeo,124.49966466900288,"[""fox""]",555736
101,Fizzique,122.51278673006787,"[""miifighter""]",1211271
102,Arpeggio,120.85183693795365,"[""snake""]",540874
103,Zetami,120.32275719036542,"[""koopajr""]",1765229
104,Jeff,120.2054988259123,"[""snake""]",1089028
105,Rafbox,119.1553024459108,"[""eflame_first""]",784011
106,Furret,119.06820135061665,"[""palutena""]",281500
107,Proto,118.74937504501057,"[""littlemac""]",2619992
108,Mada,117.82672624797696,"[""gekkouga""]",65489
109,RIN,115.60769109650992,"[""link""]",38939
110,Hidro,115.3824741262442,"[""robot""]",1064010
111,superbigagariofan,115.1576959043283,"[""gamewatch""]",2190280
112,Snickeldorf,114.70945228828379,"[""gamewatch"", ""snake""]",225097
113,Shweepy,113.81819253957309,"[""robot""]",971731
114,Waga,113.65185389349894,"[""robot"", ""wolf""]",2098017
115,Lam,112.87881538861947,"[""lucario""]",1002342
116,alex,110.37566134461237,"[""fox""]",527424
117,Fyoss,109.35801964261898,"[""koopa"", ""gamewatch""]",2183074
118,Gundham,108.82619282764382,"[""brave""]",2327374
119,Howl,105.02141594053047,"[""bayonetta""]",1468110
120,Marshall,103.44620108511512,"[""snake""]",10630
121,Jasutin,102.44249437931254,"[""krool""]",1447142
122,Lage,100.6112399053954,"[""metaknight""]",2703389
123,Lightkuma9,100.48869376126893,"[""gaogaen""]",2680741
124,Spyre,99.70792525297853,"[""pickel""]",1063588
125,NeroTak,98.9573411804686,"[""littlemac""]",2349879
126,Purin,98.9573411804686,"[""ness""]",1733558
127,foomS,98.90911088455228,"[""kamui"", ""master""]",1748564
128,romuhhh,97.94942617096758,"[""yoshi""]",1988650
129,Bunky,97.42557441338627,"[""ptrainer""]",1720766
130,legit247,96.2923293991029,"[""demon""]",10746
131,sheep,95.26510506629945,"[""palutena""]",1294084
132,Safzai,95.07951777421208,"[""samusBoth""]",2069118
133,Papa Frank,94.15699042595374,"[""chrom""]",259661
134,CAUTION,93.37988332703412,"[""dedede""]",2774085
135,22Cents,92.56405363211279,"[""reflet"", ""dolly""]",3696449
136,Breadtzel,92.1588155540473,"[""murabito""]",2072172
137,Bojazz,91.86724739362229,"[""ken""]",2373748
138,Flame,91.77771983102545,"[""jack""]",1844994
139,leiadog,91.06463310728913,"[""dedede""]",496244
140,Mossayef,89.85193611247728,"[""roy""]",3138393
141,TG,89.37139123850886,"[""samusBoth""]",409504
142,Rush,88.63378118685388,"[""wolf""]",12308
143,Jikson,88.15975123210185,"[""shulk""]",1196194
144,RNM,88.07383674276122,"[""pacman"", ""captain""]",2190114
145,ssmowy.,87.90225886171588,"[""duckhunt""]",2275100
146,PUNCHING JUDY,87.47477509315168,"[""littlemac""]",1563222
147,Apex,86.9221526770053,"[""bayonetta""]",2797199
148,MMM,86.24679232607622,"[""pitBoth""]",346985
149,Poison,85.86921071647599,"[""gaogaen""]",2024926
150,Junya,85.70192769842377,"[""bayonetta""]",413057
151,Sharmin8r,85.61840843650646,"[""snake""]",1386003
152,Isolde,85.57667933257623,"[""gekkouga""]",2991955
153,Tet,83.82186634242738,"[""donkey""]",1107771
154,Relwrd,83.47524562506287,"[""captain""]",614913
155,Freckles,83.15032382408947,"[""rosetta""]",213054
156,Cyclone,81.98304829095441,"[""shulk""]",4294526
157,PoyoPoyo,81.22718084897433,"[""brave""]",2028754
158,Jmuze,81.18759196226758,"[""luigi""]",1445540
159,TetraTheThief,80.38025848399572,"[""toonlink""]",1163706
160,GEEK,79.58095317024242,"[""brave""]",2226174
161,Crooks,78.5786230186399,"[""pacman""]",1174940
162,Wave,78.31092854299743,"[""fox""]",2569869
163,BruhCity,77.83516893006501,"[""littlemac""]",2433865
164,Vulpes,75.94234573210912,"[""donkey""]",156468
165,Theo,75.94234573210912,"[""ptrainer""]",1095364
166,Necriotic,75.86833749408984,"[""robot""]",227556
167,Jcklonk,75.75746034644688,"[""jack""]",1139489
168,Slayer,74.8032874735531,"[""miiswordsman""]",247887
169,Furaze,74.04138991946346,"[""zelda"", ""wolf""]",1002343
170,Phobos,73.10883112710927,"[""ptrainer""]",1649431
171,nervy,71.99472173792994,"[""ptrainer""]",27507
172,Bailey,71.29617907292388,"[""pickel""]",3586471
173,SLett,70.93216157297255,"[""tantan""]",2155366
174,Maize,70.82849835836772,"[""pikachu""]",1246059
175,Lotus,69.03871979105554,"[""szerosuit""]",503317
176,Tedtonic,69.02189353207032,"[""snake""]",1533613
177,Muir,68.30223067175056,"[""luigi""]",2224473
178,Bimbus,67.72200162430282,"[""belmont""]",1181254
179,Reo M,67.13033650376371,"[""purin""]",1400088
180,AvengerSpencer,66.77131097253559,"[""pickel""]",1659211
181,StringNoodles,66.31714509107607,"[""ken""]",2490036
182,Oinkums,65.93031955959502,"[""koopa""]",1649466
183,Bachman,65.41805976869806,"[""falco""]",1343127
184,KILA,65.13166469662394,"[""cloud""]",254570
185,Syncend,64.97309844705434,"[""captain""]",72265
186,ShinyShoes,64.90978009036725,"[""tantan""]",1428784
187,CHERIBOMBER,64.18603899726457,"[""littlemac""]",1754595
188,Tracy,64.0609972712409,"[""wolf""]",2513543
189,Seraphy,63.71838713737063,"[""shizue""]",259506
190,noah204,63.687331769165645,"[""snake""]",2645770
191,Sherwood,63.625266433114376,"[""cloud"", ""gaogaen""]",1832387
192,ColdLeftovers,63.43943309713807,"[""donkey""]",3639758
