,,Mario,Donkey Kong,Link,Samus & Dark Samus,Yoshi,Kirby,Fox,Pikachu,Luigi,Ness,Captain Falcon,Jigglypuff,Peach & Daisy,Bowser,Ice Climbers,Sheik,Zelda,Dr. Mario,Pichu,Falco,Marth,Lucina (Echo),Young Link,Ganondorf,Mewtwo,Roy,Chrom (Echo),Mr. Game & Watch,Meta Knight,Pit & Dark Pit,Zero Suit Samus,Wario,Snake,Ike,Pokemon Trainer,Diddy Kong,Lucas,Sonic,King Dedede,Olimar,Lucario,R.O.B.,Toon Link,Wolf,Villager,Mega Man,Wii Fit Trainer,Rosalina & Luma,Little Mac,Greninja,Mii Fighter (Brawler),Mii Fighter (Swordfighter),Mii Fighter (Gunner),Palutena,Pac-Man,Robin,Shulk,Bowser Jr.,Duck Hunt,Ryu,Ken (Echo),Cloud,Corrin,Bayonetta,Inkling,Ridley,Simon & Richter,King K. Rool,Isabelle,Incineroar,Piranha Plant,Joker,Hero,Banjo,Terry,Byleth,Min Min,Steve,Sephiroth,Aegis,Kazuya,Sora
,Avg winrate,"48,44%","49,66%","49,39%","50,91%","50,54%","50,54%","49,66%","46,87%","50,85%","49,27%","50,05%","47,24%","50,82%","49,03%","52,55%","49,34%","49,39%","49,60%","49,56%","50,03%","47,59%","47,29%","51,80%","49,20%","49,54%","47,64%","49,39%","51,46%","50,82%","48,27%","49,57%","48,61%","51,23%","49,78%","49,63%","52,52%","47,50%","51,15%","50,61%","50,59%","49,81%","51,31%","50,78%","49,09%","49,70%","52,35%","50,94%","51,54%","50,10%","50,44%","51,20%","51,19%","51,67%","49,17%","50,06%","49,86%","50,29%","50,76%","53,22%","50,16%","50,12%","48,89%",49%,"50,44%","48,86%","49,56%","51,41%","49,99%","50,42%","48,83%","49,54%","47,24%","49,76%","52,56%",51%,"47,81%","51,01%","52,03%","48,26%","49,51%","50,42%","47,76%"
Mario,"48,44%","50,01%","43,85%","51,18%","45,90%","52,96%","51,91%","53,44%","43,62%","60,30%","46,01%","46,34%","51,76%","50,24%","46,68%","65,27%","50,24%","49,95%","54,86%","49,80%","47,59%","57,15%","55,63%","49,75%","51,98%","49,32%","50,90%","49,19%","58,15%","50,56%","49,16%","50,70%","51,62%","49,97%","42,41%","50,58%","47,88%","54,68%","48,85%","42,63%","49,22%","46,87%","43,14%","50,00%","50,51%","49,35%","49,72%","48,29%","54,26%","55,27%","49,98%","53,71%","48,33%","45,27%","49,13%","51,11%","46,64%","52,30%","45,38%","49,78%","49,81%","48,98%","49,83%","50,72%","54,16%","43,91%","50,49%","46,89%","44,72%","52,12%","49,08%","47,64%","49,52%","47,68%","46,33%","54,68%","51,95%","46,70%","55,18%","50,42%","51,15%","57,78%","51,19%"
Donkey Kong,"49,66%","56,40%","49,98%","53,20%","51,24%","47,00%","47,65%","56,39%","57,36%","55,97%","52,22%","53,51%","49,48%","51,94%","54,31%","55,05%","51,80%","45,92%","49,82%","53,36%","57,22%","41,66%","48,54%","58,71%","49,76%","40,34%","47,27%","49,75%","54,27%","58,66%","49,84%","49,71%","53,00%","46,63%","39,54%","51,06%","45,37%","45,96%","50,12%","53,57%","49,61%","43,23%","51,60%","51,72%","44,25%","55,97%","59,02%","50,08%","61,56%","40,31%","48,41%","51,65%","50,24%","50,05%","57,57%","44,09%","54,50%","47,67%","50,74%","57,87%","47,90%","49,89%","42,77%","43,89%","53,34%","52,85%","46,97%","51,97%","50,19%","49,98%","44,76%","58,75%","49,07%","40,62%","48,76%","48,65%","51,01%","43,75%","50,58%","46,67%","43,30%","47,10%","56,83%"
Link,"49,39%","48,49%","46,54%","49,88%","51,36%","47,52%","54,11%","44,17%","53,08%","50,10%","46,81%","48,27%","47,60%","49,80%","51,95%","51,91%","47,67%","58,12%","50,04%","58,97%","50,36%","55,19%","50,29%","38,83%","49,85%","43,83%","49,97%","50,46%","51,38%","54,05%","47,67%","48,88%","50,03%","52,52%","49,62%","49,90%","45,53%","47,78%","54,02%","50,38%","49,43%","50,84%","46,10%","42,68%","47,49%","47,90%","46,90%","46,49%","46,87%","46,32%","49,34%","50,68%","52,01%","46,23%","53,23%","44,98%","47,06%","53,49%","49,65%","49,11%","45,13%","47,16%","49,97%","48,18%","56,85%","46,34%","50,03%","52,48%","51,51%","47,54%","57,79%","54,34%","47,99%","50,41%","51,70%","50,73%","53,30%","50,93%","48,92%","51,81%","50,16%","55,14%","48,25%"
Samus & Dark Samus,"50,91%","54,44%","48,56%","48,19%","49,98%","42,98%","43,27%","52,97%","47,77%","40,11%","50,26%","49,31%","50,94%","42,81%","48,69%","55,77%","53,54%","56,96%","49,22%","42,11%","59,57%","49,29%","50,78%","47,49%","49,80%","61,25%","52,20%","50,14%","51,94%","53,88%","54,30%","59,77%","49,43%","50,08%","50,18%","45,32%","47,39%","48,14%","43,73%","49,90%","66,00%","53,25%","49,86%","48,34%","51,73%","60,83%","47,09%","51,35%","59,36%","51,74%","48,89%","49,39%","53,67%","53,78%","49,67%","39,77%","43,18%","44,05%","45,76%","65,12%","46,73%","47,41%","50,13%","44,78%","53,74%","47,74%","47,47%","46,03%","49,62%","57,07%","46,26%","47,97%","50,17%","50,13%","54,54%","49,55%","42,62%","54,45%","52,94%","50,86%","51,50%","49,36%","41,43%"
Yoshi,"50,54%","46,69%","53,11%","52,37%","56,89%","50,01%","47,64%","49,81%","41,67%","55,03%","45,72%","48,05%","43,30%","50,21%","53,47%","53,53%","44,89%","50,31%","53,61%","37,87%","47,69%","56,35%","52,92%","53,72%","52,83%","51,71%","52,46%","53,59%","46,66%","38,33%","50,39%","48,67%","47,32%","43,27%","52,13%","47,26%","49,50%","41,01%","51,66%","50,21%","49,89%","49,69%","42,56%","56,24%","52,50%","50,42%","47,20%","55,03%","49,08%","57,17%","46,19%","48,18%","50,20%","47,19%","50,18%","54,00%","47,74%","49,41%","44,96%","60,10%","51,20%","46,18%","55,76%","57,68%","56,51%","44,05%","49,62%","46,87%","52,85%","49,71%","56,13%","56,33%","48,86%","52,26%","53,01%","53,27%","50,08%","42,80%","49,50%","50,27%","50,67%","54,32%","53,85%"
Kirby,"50,54%","48,11%","52,57%","45,78%","56,56%","52,48%","50,11%","48,60%","48,40%","63,36%","51,86%","44,36%","54,95%","50,94%","51,73%","50,79%","45,60%","47,33%","50,84%","43,90%","40,74%","53,84%","50,38%","51,16%","47,74%","51,77%","43,23%","42,73%","61,11%","51,99%","46,37%","46,16%","49,38%","59,71%","55,80%","52,38%","47,18%","52,60%","55,46%","53,70%","50,73%","51,09%","55,72%","57,16%","44,10%","41,04%","49,75%","39,82%","49,36%","37,03%","47,91%","44,73%","50,54%","49,69%","38,45%","57,76%","49,63%","47,80%","50,73%","53,94%","50,30%","41,43%","49,99%","58,62%","50,14%","50,42%","52,46%","50,62%","51,35%","49,02%","47,87%","50,83%","42,44%","49,22%","50,41%","40,50%","48,28%","47,92%","56,74%","48,31%","48,58%","42,00%","65,72%"
Fox,"49,66%","46,51%","43,72%","55,78%","47,30%","50,26%","51,73%","50,08%","46,74%","64,12%","59,09%","50,01%","50,69%","54,47%","59,39%","66,51%","41,11%","50,51%","56,20%","52,20%","51,04%","50,23%","50,83%","50,83%","53,36%","41,63%","51,48%","50,22%","49,75%","41,26%","49,76%","45,25%","57,03%","50,23%","46,49%","56,13%","49,64%","50,00%","47,97%","50,19%","51,87%","49,19%","48,80%","49,86%","55,62%","50,17%","49,82%","43,44%","54,92%","53,68%","46,14%","52,02%","44,68%","44,20%","49,54%","49,51%","43,78%","50,89%","50,86%","50,03%","49,52%","51,06%","54,07%","49,32%","47,74%","47,80%","54,26%","48,03%","42,45%","50,88%","58,11%","50,67%","47,01%","44,29%","47,25%","53,37%","50,58%","44,78%","52,15%","46,94%","46,81%","59,07%","43,77%"
Pikachu,"46,87%","55,63%","42,74%","46,50%","51,18%","56,70%","50,97%","52,51%","49,77%","51,26%","64,64%","48,77%","54,53%","50,52%","48,58%","59,84%","47,18%","55,07%","64,45%","50,26%","47,54%","51,83%","49,84%","49,05%","42,01%","49,90%","47,53%","45,13%","62,85%","46,02%","50,54%","40,79%","47,63%","54,48%","55,38%","47,81%","50,49%","62,82%","46,82%","46,35%","62,89%","58,49%","47,88%","48,89%","49,71%","50,75%","43,43%","44,98%","49,88%","51,98%","49,96%","51,77%","49,69%","50,29%","46,28%","58,48%","39,90%","46,83%","49,43%","49,76%","50,89%","43,63%","49,55%","50,40%","54,03%","51,56%","46,43%","37,45%","43,96%","53,96%","52,40%","54,46%","42,56%","49,64%","53,79%","53,50%","44,89%","39,78%","50,10%","44,12%","49,59%","47,93%","47,10%"
Luigi,"50,85%","38,86%","43,87%","49,73%","59,86%","45,13%","36,58%","35,59%","47,92%","50,07%","59,57%","40,95%","45,90%","51,49%","45,67%","66,57%","44,74%","46,97%","50,85%","50,18%","43,27%","51,63%","49,98%","50,49%","49,63%","52,74%","43,05%","45,39%","47,70%","36,42%","46,30%","54,18%","44,38%","57,29%","54,93%","45,11%","48,91%","64,16%","49,00%","47,83%","49,86%","49,52%","46,67%","57,15%","47,01%","63,76%","50,51%","51,02%","65,11%","36,02%","42,67%","43,86%","49,83%","66,32%","51,95%","60,42%","62,42%","61,47%","50,12%","56,35%","48,06%","39,87%","50,46%","50,27%","50,27%","48,00%","50,40%","60,61%","45,56%","58,74%","52,63%","54,78%","47,87%","53,77%","49,95%","49,64%","46,09%","51,14%","58,15%","61,26%","50,38%","41,04%","49,74%"
